6.878,1.1951,0.073171,0.46341,0.14634,0.2439,0.29268,0.73171,0.04878
22.344,3.541,1.1311,1.377,0.77049,0.2459,0.016393,1.1967,0.065574
22.839,3.4032,0.75806,2.2742,1.129,0.53226,0,1.0968,0.17742
28.204,5.3689,0.58252,1.9126,1.0194,0.5534,0.39806,2.2816,1.2427
40.315,10.218,0.8629,2.5242,1.129,0.40323,0.26613,2.0081,1.7823
43.313,10.855,0.9759,2.5783,1.0602,0.54217,0.33133,1.8373,2.9277
90.777,4.5602,0.96988,2.6084,1.2108,0.43976,0.33735,1.6084,2.2108
134.49,6.1867,1.4458,2.2771,2.1566,0.53614,0.53012,1.747,3.1867
85.414,2.9938,1.284,2.037,1.2346,0.40123,0.48148,1.6173,3.0741
59.879,2.6,0.77857,1.2286,0.97143,0.28571,0.32857,1.2929,2.5071
51.096,1.707,0.70064,1.5732,0.72611,0.29299,0.3121,1.2866,1.7834
37.447,1.197,0.65152,1.5682,0.68939,0.32576,0.7197,2.1288,2.4621
56.88,2.0977,0.55639,2.3083,0.85714,0.65414,1.0301,2.4586,1.7218
56.481,2.487,0.9026,1.8766,1.1753,0.46104,1.3896,2.0065,1.1234
64.961,2.4351,0.91558,2.2338,2.0195,0.7013,5.7922,5.2792,4.1299
29.988,2.0497,0.63354,2.1429,1.1242,3.7329,4.8634,16.075,3.441
21.451,2.1728,0.56173,1.679,1.4012,2.3642,3.7099,7.642,2.0988
23.789,3.5241,0.48193,1.9036,1.4699,1.0843,4.9337,6.259,2.1687
19.241,2.8621,0.45517,2.6138,1.5586,0.92414,5.5172,11.228,4.069
29.24,2.8973,0.45205,2.5068,1.6918,0.82877,5.9521,9.2945,3.0068
37.155,3.6488,0.54762,2.9881,1.7798,0.98214,9.3988,9.1369,2.2976
45.649,3.6964,1.0298,2.9286,2.0476,2.4762,11.083,21.179,4.5119
31.066,2.7964,0.91617,2.5389,2.4431,5.3114,12.557,28.042,4.982
21.571,3.1964,0.6131,2.6726,1.631,1.4345,9.619,10.339,2.7976
14.85,3.3413,0.44311,2.485,1.5569,0.73653,8.8862,9.479,3.1497
11.706,4.7832,0.35664,3.0629,1.5804,0.96503,11.203,15.573,3.1119
13.758,4.2424,0.38788,3,1.5636,0.97576,11.121,12.194,4.5091
21.074,5.1728,0.57407,2.5556,1.6481,0.87037,12.611,15.426,4.679
18.544,3.9375,0.5375,3.2188,2.525,1.8813,10.431,24.175,6.2562
8.8,2.0424,0.39394,2.4182,2.3515,4.0727,13.576,27.715,9.697
9.097,4.2848,0.25455,2.7879,3.0485,2.9394,16.188,15.303,7.9939
7.6606,3.6545,0.30909,3,3.5576,1.5152,12.448,16.57,7.697
7.622,2.7317,0.27439,2.6402,3.5976,2.25,12.933,20.183,9.2988
7.5244,3.4573,0.29268,2.8415,3.4512,1.8415,13.591,15.811,11.341
11.896,3.2317,0.43293,3.2195,3.9207,1.9451,14.762,19.5,14.884
8.2988,2.6159,0.48171,2.1402,3.4024,2.7134,14.793,28.695,16.53
7.8581,1.9613,0.49032,2.2516,3.7935,3.9613,18.245,32.303,18.2
9.2222,1.3922,0.43137,2.3725,3.6275,1.3595,11.693,15.17,11.17
7.0455,0.9026,0.43506,1.8377,2.3571,0.76623,8.8896,14.097,7.3442
8.5755,1.0647,0.46763,2.6475,2.7914,0.95683,7.1871,11.77,5.7338
7.8095,1.2222,0.69841,4.7143,3.5238,1.3492,13.016,22.714,6.6984
13.012,1.1205,0.57831,2.9759,2.012,0.98795,9.0723,13.253,3.8795
10.683,0.77778,0.52381,3.381,1.9206,1.8095,11.873,27.984,3
6.9516,0.62903,0.45161,2.7903,1.9839,1.5161,10.887,14.306,2.4677
9.6774,0.40323,0.53226,3.0645,1.9839,0.41935,4.4194,5.6613,1.371
4.9683,0.46032,0.61905,3.6825,2.0635,1.0317,10.508,8.7619,2.8889
6.6349,0.44444,0.33333,1.1111,0.80952,0.26984,3.6032,3.1429,0.88889
2.9841,0.52381,0.52381,3.3175,1.2857,0.44444,5.0794,6.3175,2.1111
4.7381,0.69048,0.54762,3.0952,1.4048,0.64286,4.3571,2.9286,1
0,0.4,0.7,1.15,0.9,0.2,5.45,4.2,0.5
